index,Date,PM10,PM2.5,Temp,Humidity,Wind Speed,Wind Dir,NO,NO2,Nox,SO2,lag1,lag2
48,2018-12-01 00:00:00,15.8,6.5,18.0,76.1,5.4,52.0,0.2,0.8,1.0,1.7,10.2,18.6
49,2018-12-01 01:00:00,18.1,25.6,18.0,79.1,4.8,60.0,0.1,0.6,0.5,1.5499999999999998,9.1,21.4
50,2018-12-01 02:00:00,15.9,1.7,18.0,76.4,4.7,61.0,0.0,0.5,0.5,1.4,8.6,17.8
51,2018-12-01 03:00:00,16.1,1.7,18.0,75.1,5.2,53.0,0.0,0.3,0.2,1.6,9.9,17.5
52,2018-12-01 04:00:00,18.5,18.5,18.0,79.2,5.0,56.0,0.2,0.3,0.4,1.5,7.1,21.7
53,2018-12-01 05:00:00,8.2,13.6,18.0,80.0,4.4,59.0,0.2,0.8,1.0,1.8,6.9,30.4
54,2018-12-01 06:00:00,21.5,0.1,17.0,82.6,4.3,52.0,0.2,1.8,2.0,1.4,12.9,26.0
55,2018-12-01 07:00:00,12.7,15.0,18.0,74.4,4.8,53.0,0.2,1.9,2.0,1.5,16.4,29.5
56,2018-12-01 08:00:00,13.5,5.0,18.0,75.2,4.7,55.0,0.4,3.0,3.4,1.9,6.6,28.5
57,2018-12-01 09:00:00,14.0,20.7,18.0,77.8,5.4,47.0,0.6,2.7,3.3,1.5,20.7,17.8
58,2018-12-01 10:00:00,6.6,19.7,19.0,70.8,5.4,57.0,0.7,2.8,3.5,1.9,8.0,16.6
59,2018-12-01 11:00:00,23.9,23.9,18.0,75.4,5.4,58.0,0.2,2.2,2.3,1.9,23.7,18.8
60,2018-12-01 12:00:00,12.2,12.2,18.0,78.2,5.2,57.0,0.5,2.2,2.8,1.3,23.5,11.4
61,2018-12-01 13:00:00,9.3,9.8,19.0,76.9,5.0,57.0,0.5,1.7,2.2,1.7,21.1,17.6
62,2018-12-01 14:00:00,23.7,11.4,19.0,77.7,4.5,56.0,0.5,2.1,2.6,1.6,14.4,15.7
63,2018-12-01 15:00:00,17.0,8.5,20.0,76.2,4.7,54.0,0.5,1.7,2.2,1.7,19.3,12.1
64,2018-12-01 16:00:00,29.3,22.4,20.0,76.6,4.2,56.0,0.3,1.5,1.8,1.6,24.4,7.69999999999999
65,2018-12-01 17:00:00,28.9,28.9,19.0,80.3,4.0,57.0,0.1,1.7,1.8,1.8,7.69999999999999,15.5
66,2018-12-01 18:00:00,32.5,14.4,19.0,86.5,3.8,56.0,0.2,2.3,2.4,1.6,14.8,10.9
67,2018-12-01 19:00:00,21.8,6.9,19.0,87.7,3.4,54.0,0.2,2.1,2.3,1.5,12.9,15.3
68,2018-12-01 20:00:00,25.2,7.4,19.0,88.1,3.2,55.0,0.1,1.8,1.6,1.7,13.9,10.2
69,2018-12-01 21:00:00,21.7,17.0,19.0,87.9,3.1,40.0,0.0,1.6,1.5,1.7,14.2,9.5
70,2018-12-01 22:00:00,27.8,4.4,19.0,87.2,3.9,30.0,0.0,1.2,0.9,1.6,13.9,5.0
71,2018-12-01 23:00:00,23.7,1.5,19.0,87.2,3.6,25.0,0.0,1.2,1.2,1.8,13.4,8.3
72,2018-12-02 00:00:00,24.9,14.5,19.0,87.5,3.5,26.0,0.0,1.1,0.9,1.8,15.8,10.2
73,2018-12-02 01:00:00,28.0,28.0,19.0,87.9,3.3,25.0,0.0,1.2,1.0333333333333334,1.6,18.1,9.1
74,2018-12-02 02:00:00,26.7,26.7,19.0,81.0,3.0999999999999996,21.0,0.0,1.3,1.1666666666666667,1.6,15.9,8.6
75,2018-12-02 03:00:00,25.4,8.5,18.0,87.7,2.9,17.0,0.0,1.4,1.3,1.6,16.1,9.9
76,2018-12-02 04:00:00,27.6,6.7,18.0,88.6,2.6,19.0,0.1,3.3,3.2,1.7,18.5,7.1
77,2018-12-02 05:00:00,21.3,21.3,18.0,88.9,2.6,21.0,0.2,4.3,4.5,2.0,8.2,6.9
78,2018-12-02 06:00:00,26.9,8.0,18.0,89.1,2.3,24.0,0.3,7.6,7.9,1.9,21.5,12.9
79,2018-12-02 07:00:00,20.7,14.3,19.0,86.8,2.2,38.0,0.1,1.7,1.8,1.7,12.7,16.4
80,2018-12-02 08:00:00,25.4,15.5,19.0,82.4,3.4,34.0,0.1,1.0,1.2,1.6,13.5,6.6
81,2018-12-02 09:00:00,23.0,4.6,20.0,75.5,3.2,40.0,0.1,1.6,1.7,1.8,14.0,20.7
82,2018-12-02 10:00:00,18.3,9.7,21.0,68.7,4.0,41.0,0.4,1.1,1.5,1.3,6.6,8.0
83,2018-12-02 11:00:00,27.4,2.4,22.0,66.2,4.1,45.0,0.6,1.4,2.0,1.9,23.9,23.7
84,2018-12-02 12:00:00,25.8,25.8,22.0,64.7,4.3,45.0,0.6,1.3,1.9,1.6,12.2,23.5
85,2018-12-02 13:00:00,26.6,13.8,22.0,64.0,5.1,34.0,0.3,1.1,1.4,1.9,9.3,21.1
86,2018-12-02 14:00:00,26.6,6.3,22.0,64.2,5.0,36.0,0.4,0.8,1.3,1.4,23.7,14.4
87,2018-12-02 15:00:00,21.5,4.0,21.0,67.7,4.6,32.0,0.6,1.7,2.3,2.0,17.0,19.3
88,2018-12-02 16:00:00,24.8,4.4,22.0,66.4,5.0,24.0,0.5,1.1,1.6,2.3,29.3,24.4
89,2018-12-02 17:00:00,21.2,16.4,22.0,68.0,4.5,35.0,0.5,1.1,1.6,1.8,28.9,7.69999999999999
90,2018-12-02 18:00:00,23.8,14.8,20.0,73.6,4.3,34.0,0.5,1.7,2.1,1.0,32.5,14.8
91,2018-12-02 19:00:00,21.4,21.4,20.0,77.4,3.9,35.0,0.3,2.2,2.5,1.4,21.8,12.9
92,2018-12-02 20:00:00,22.6,9.9,19.0,80.5,3.5,31.0,0.1,1.8,1.9,1.9,25.2,13.9
93,2018-12-02 21:00:00,16.3,5.8,19.0,82.6,2.7,27.0,0.2,2.7,2.6,1.8,21.7,14.2
94,2018-12-02 22:00:00,16.4,9.4,19.0,81.0,2.7,37.0,0.3,4.0,4.2,1.8,27.8,13.9
95,2018-12-02 23:00:00,16.1,5.3,19.0,79.5,2.7,46.0,0.1,1.7,1.8,1.9,23.7,13.4
96,2018-12-03 00:00:00,12.4,4.8,19.0,77.4,2.4,50.0,0.05,1.2,1.0,1.8,24.9,15.8
97,2018-12-03 01:00:00,16.15,16.15,19.0,76.6,2.9,50.0,0.0,0.4,0.4,1.4500000000000002,28.0,18.1
98,2018-12-03 02:00:00,19.9,7.8,18.0,83.2,3.0,39.0,0.05,0.7,0.6,1.1,26.7,15.9
99,2018-12-03 03:00:00,14.8,5.2,19.0,84.0,3.4,36.0,0.1,1.0,1.0,1.7,25.4,16.1
100,2018-12-03 04:00:00,10.8,13.5,17.0,84.2,3.7,32.0,0.0,0.7,0.7,1.9,27.6,18.5
101,2018-12-03 05:00:00,8.8,4.2,17.0,85.6,2.8,28.0,0.35,0.7,0.5,1.9,21.3,8.2
102,2018-12-03 06:00:00,5.8,5.8,17.0,88.9,2.5,35.0,0.7,6.6,7.3,1.4,26.9,21.5
103,2018-12-03 07:00:00,12.8,12.4,18.0,89.3,1.9,38.0,4.3,18.0,22.2,2.2,20.7,12.7
104,2018-12-03 08:00:00,10.5,11.6,19.0,83.5,2.8,184.0,3.5,9.2,12.7,1.8,25.4,13.5
105,2018-12-03 09:00:00,2.3,2.3,20.0,76.4,3.5,67.0,2.3,4.6,6.9,2.3,23.0,14.0
106,2018-12-03 10:00:00,10.1,9.5,20.0,76.2,3.9,19.0,1.6,2.9,4.5,1.6,18.3,6.6
107,2018-12-03 11:00:00,16.5,3.0,19.0,84.0,5.3,9.0,1.8,3.1,4.8,1.7,27.4,23.9
108,2018-12-03 12:00:00,5.3,7.69999999999999,19.0,83.6,4.5,7.0,1.6,4.2,5.8,1.8,25.8,12.2
109,2018-12-03 13:00:00,7.9,6.9,19.0,84.6,2.8,174.0,2.0,5.0,7.0,1.9,26.6,9.3
110,2018-12-03 14:00:00,3.8,4.5,19.0,87.8,2.7,277.0,5.4,10.5,15.9,1.9,26.6,23.7
111,2018-12-03 15:00:00,2.4,6.1,20.0,83.9,3.7,333.0,4.8,9.6,14.4,2.0,21.5,17.0
112,2018-12-03 16:00:00,6.1,6.1,19.0,84.9,3.6,329.0,4.3,10.0,14.3,2.1,24.8,29.3
113,2018-12-03 17:00:00,6.9,11.2,19.0,86.6,3.8,315.0,3.5,11.0,14.5,1.9,21.2,28.9
114,2018-12-03 18:00:00,5.5,7.4,19.0,86.2,3.1,284.0,3.6,8.9,12.5,1.9,23.8,32.5
115,2018-12-03 19:00:00,4.1,5.6,18.0,86.3,2.8,288.0,2.4,8.2,10.6,1.9,21.4,21.8
116,2018-12-03 20:00:00,4.6,4.6,18.0,86.3,2.8,280.0,2.2,8.1,10.3,1.8,22.6,25.2
117,2018-12-03 21:00:00,4.7,5.7,18.0,84.7,2.4,272.0,2.3,9.2,11.4,1.9,16.3,21.7
118,2018-12-03 22:00:00,5.8,1.5,18.0,85.3,1.9,284.0,2.1,8.0,10.1,1.9,16.4,27.8
119,2018-12-03 23:00:00,12.4,4.5,18.0,84.4,1.5,299.0,0.7,5.7,6.4,1.5,16.1,23.7
120,2018-12-04 00:00:00,16.3,16.3,17.0,83.5,1.6,333.0,0.3,5.4,5.8,1.7,12.4,24.9
121,2018-12-04 01:00:00,23.8,21.3,17.0,84.3,2.1,128.0,0.35,3.25,3.65,1.5,16.15,28.0
122,2018-12-04 02:00:00,21.0,8.5,17.0,84.8,2.0,13.0,0.4,1.1,1.5,1.7,19.9,26.7
123,2018-12-04 03:00:00,16.8,4.6,18.0,85.0,2.1,29.0,0.1,1.2,1.3,1.9,14.8,25.4
124,2018-12-04 04:00:00,18.6,1.7,18.0,84.6,2.0,33.0,0.1,2.1,1.9,1.3,10.8,27.6
125,2018-12-04 05:00:00,16.8,8.4,18.0,84.8,2.3,21.0,0.1,4.9,5.0,2.0,8.8,21.3
126,2018-12-04 06:00:00,20.8,13.3,19.0,87.8,3.0,13.0,0.7,6.0,6.7,1.7,5.8,26.9
127,2018-12-04 07:00:00,17.8,15.5,19.0,88.6,3.4,14.0,1.0,5.8,6.8,1.7,12.8,20.7
128,2018-12-04 08:00:00,17.2,3.0,19.0,89.3,2.0,58.0,2.7,12.8,15.6,1.7,10.5,25.4
129,2018-12-04 09:00:00,12.0,11.5,19.0,90.6,2.4,280.0,7.3,25.4,32.7,1.9,2.3,23.0
130,2018-12-04 10:00:00,1.2,12.0,19.0,87.2,2.4,309.0,20.1,39.1,59.2,2.7,10.1,18.3
131,2018-12-04 11:00:00,10.7,16.0,19.0,83.6,3.3,240.0,20.3,28.7,49.0,2.3,16.5,27.4
132,2018-12-04 12:00:00,15.7,15.7,20.0,75.3,2.5,263.0,13.1,20.7,33.8,2.2,5.3,25.8
133,2018-12-04 13:00:00,17.7,14.0,22.0,56.1,3.8,263.0,9.1,11.5,20.6,1.8,7.9,26.6
134,2018-12-04 14:00:00,24.0,24.0,22.0,51.8,4.1,256.0,11.6,13.3,24.9,1.7,3.8,26.6
135,2018-12-04 15:00:00,24.4,24.4,22.0,50.8,4.1,256.0,10.4,12.6,23.0,1.7,2.4,21.5
136,2018-12-04 16:00:00,35.1,35.1,21.0,52.8,4.4,249.0,9.6,13.2,22.8,1.5,6.1,24.8
137,2018-12-04 17:00:00,24.3,24.3,20.0,54.4,5.4,242.0,8.5,10.4,18.9,1.8,6.9,21.2
138,2018-12-04 18:00:00,15.8,15.8,20.0,52.8,5.5,241.0,7.8,8.9,16.7,2.1,5.5,23.8
139,2018-12-04 19:00:00,20.4,20.4,19.0,59.8,3.8,251.0,4.7,9.0,13.7,1.6,4.1,21.4
140,2018-12-04 20:00:00,27.5,25.7,18.0,65.5,2.7,246.0,3.5,9.9,13.4,1.8,4.6,22.6
141,2018-12-04 21:00:00,19.6,23.7,17.0,69.5,2.2,266.0,2.3,10.0,12.3,1.8,4.7,16.3
142,2018-12-04 22:00:00,23.5,23.5,17.0,72.9,2.9,282.0,1.0,7.2,8.2,1.2,5.8,16.4
143,2018-12-04 23:00:00,25.3,9.5,17.0,75.3,2.8,286.0,0.9,4.6,5.5,1.9,12.4,16.1
144,2018-12-05 00:00:00,23.3,24.5,17.0,77.4,2.5,288.0,1.0,6.5,7.5,1.3,16.3,12.4
145,2018-12-05 01:00:00,31.6,6.9,18.0,76.8,3.2,296.0,0.3,2.4,2.7,1.35,23.8,16.15
146,2018-12-05 02:00:00,24.1,8.9,17.0,80.7,2.9,244.0,3.2,5.5,8.7,1.4,21.0,19.9
147,2018-12-05 03:00:00,10.8,4.9,16.0,83.6,2.0,279.0,2.2,6.4,8.6,1.9,16.8,14.8
148,2018-12-05 04:00:00,5.7,5.7,16.0,83.4,1.5,332.0,0.3,7.4,7.69999999999999,1.0,18.6,10.8
149,2018-12-05 05:00:00,16.6,6.5,16.0,84.0,1.5,301.0,2.7,14.2,17.0,2.1,16.8,8.8
150,2018-12-05 06:00:00,15.1,0.8,16.0,83.0,1.6,299.0,11.3,28.3,39.6,2.3,20.8,5.8
151,2018-12-05 07:00:00,17.9,7.0,16.0,74.3,1.3,271.0,16.3,31.0,47.4,1.8,17.8,12.8
152,2018-12-05 08:00:00,28.4,3.4,18.0,66.5,1.9,274.0,13.7,20.4,34.1,2.3,17.2,10.5
153,2018-12-05 09:00:00,34.4,15.0,19.0,53.2,3.7,255.0,14.1,14.6,28.7,2.0,12.0,2.3
154,2018-12-05 10:00:00,28.2,28.2,20.0,47.5,3.7,266.0,10.8,11.3,22.1,1.7,1.2,10.1
155,2018-12-05 11:00:00,26.4,26.4,20.0,46.2,3.7,261.0,12.4,12.0,24.4,2.7,10.7,16.5
156,2018-12-05 12:00:00,27.5,27.5,21.0,45.5,4.1,260.0,13.0,11.2,24.2,2.6,15.7,5.3
157,2018-12-05 13:00:00,36.2,17.3,20.0,49.5,5.2,246.0,16.4,12.6,29.0,2.2,17.7,7.9
158,2018-12-05 14:00:00,18.4,8.1,21.0,44.1,4.2,269.0,10.0,8.9,18.9,2.4,24.0,3.8
159,2018-12-05 15:00:00,23.6,23.6,21.0,44.3,5.0,252.0,10.7,8.9,19.7,2.1,24.4,2.4
160,2018-12-05 16:00:00,27.2,27.2,20.0,46.4,4.7,251.0,12.9,10.8,23.7,1.6,35.1,6.1
161,2018-12-05 17:00:00,24.2,17.6,20.0,45.7,4.8,251.0,9.8,8.4,18.2,2.1,24.3,6.9
162,2018-12-05 18:00:00,27.1,11.2,19.0,49.3,4.0,254.0,8.7,8.4,17.1,2.4,15.8,5.5
163,2018-12-05 19:00:00,24.7,14.6,18.0,50.6,4.4,246.0,6.6,8.0,14.6,2.0,20.4,4.1
164,2018-12-05 20:00:00,24.2,12.6,17.0,52.9,3.2,242.0,5.7,11.6,17.3,1.8,27.5,4.6
165,2018-12-05 21:00:00,26.4,5.7,17.0,56.1,1.9,279.0,3.5,11.6,15.1,1.6,19.6,4.7
166,2018-12-05 22:00:00,25.3,25.3,16.0,61.0999999999999,1.6,280.0,6.4,18.1,24.5,1.5,23.5,5.8
167,2018-12-05 23:00:00,23.2,15.3,15.0,63.3,1.5,297.0,4.2,17.7,21.8,2.3,25.3,12.4
168,2018-12-06 00:00:00,24.7,10.7,15.0,64.5,1.5,310.0,1.4,13.8,15.2,1.7,23.3,16.3
169,2018-12-06 01:00:00,30.7,41.7,16.0,61.4,2.1,304.0,1.15,8.350000000000001,9.55,1.0,31.6,23.8
170,2018-12-06 02:00:00,15.8,9.6,15.0,58.4,2.4,297.0,0.9,2.9,3.9,1.8,24.1,21.0
171,2018-12-06 03:00:00,14.3,0.1,15.0,62.9,2.1,297.0,1.0,4.7,5.6,0.8,10.8,16.8
172,2018-12-06 04:00:00,19.4,11.5,14.0,69.2,2.0,267.0,4.5,9.7,14.2,1.8,5.7,18.6
173,2018-12-06 05:00:00,10.7,20.9,14.0,66.9,2.0,307.0,2.4,15.8,18.2,2.3,16.6,16.8
174,2018-12-06 06:00:00,17.0,17.0,13.0,76.6,1.9,290.0,11.3,24.3,35.6,2.4,15.1,20.8
175,2018-12-06 07:00:00,4.9,19.5,14.0,75.7,2.1,309.0,16.8,29.0,45.7,2.5,17.9,17.8
176,2018-12-06 08:00:00,13.0,23.9,15.0,68.8,2.3,279.0,15.9,19.7,35.6,1.6,28.4,17.2
177,2018-12-06 09:00:00,9.9,9.9,14.0,69.0,2.5,298.0,12.0,18.0,30.0,1.9,34.4,12.0
178,2018-12-06 10:00:00,8.7,4.6,16.0,60.9,3.5,267.0,12.9,12.0,24.9,1.7,28.2,1.2
179,2018-12-06 11:00:00,25.3,25.3,16.0,61.0,5.4,243.0,18.2,13.9,32.1,1.9,26.4,10.7
180,2018-12-06 12:00:00,11.6,11.6,16.0,61.0999999999999,6.3,230.0,20.6,14.6,35.2,2.6,27.5,15.7
