,count,mean,std,min,25%,50%,75%,max
PM10,34851.0,14.43671917592043,8.841793154264627,-97.0,8.7,13.5,19.0,372.0
Lag1,34851.0,14.43602192189616,8.842058483363607,-97.0,8.7,13.5,19.0,372.0
Lag2,34851.0,14.43555421652185,8.842664598979866,-97.0,8.7,13.5,19.0,372.0
PM2.5,33215.0,5.622164684630414,16.56593025557899,-2529.6,2.6,5.3,8.3,447.7
Temp,34611.0,16.620097656814306,3.945474001791005,3.0,14.0,17.0,20.0,28.0
Humidity,34612.0,69.80626661273561,12.312313479208493,26.9,60.5999999999999,70.7,79.9,92.0
Wind Speed,34554.0,2.813517971870149,1.5826419272887773,0.2,1.5,2.6,3.9,8.7
Wind Dir,34555.0,181.22616119230213,92.54228481664093,1.0,89.0,214.0,238.0,357.0
NO,34080.0,10.62582247652585,21.57945462787742,-3.8,1.0,4.0,11.5,378.4
NO2,34066.0,14.717096224975062,12.843660313546438,-3.9,4.6,11.1,21.5,84.3
Nox,34081.0,25.138277632698568,31.385045072624052,-4.1,6.1,15.7,32.4,455.1
SO2,34586.0,0.9403920661539175,2.283597294837547,-26.6,0.1,0.6,1.1,221.1
